SAT_2017,Total,ERW,Math,Year,SAT_2018,SAT_2019
Alabama,1165,593,572,2017,,
Alaska,1080,547,533,2017,,
Arizona,1116,563,553,2017,,
Arkansas,1208,614,594,2017,,
California,1055,531,524,2017,,
Colorado,1201,606,595,2017,,
Connecticut,1041,530,512,2017,,
Delaware,996,503,492,2017,,
District of Columbia,950,482,468,2017,,
Florida,1017,520,497,2017,,
Georgia,1050,535,515,2017,,
Hawaii,1085,544,541,2017,,
Idaho,1005,513,493,2017,,
Illinois,1115,559,556,2017,,
Indiana,1074,542,532,2017,,
Iowa,1275,641,635,2017,,
Kansas,1260,632,628,2017,,
Kentucky,1247,631,616,2017,,
Louisiana,1198,611,586,2017,,
Maine,1012,513,499,2017,,
Maryland,1060,536,524,2017,,
Massachusetts,1107,555,551,2017,,
Michigan,1005,509,495,2017,,
Minnesota,1295,644,651,2017,,
Mississippi,1242,634,607,2017,,
Missouri,1271,640,631,2017,,
Montana,1196,605,591,2017,,
Nebraska,1253,629,625,2017,,
Nevada,1116,563,553,2017,,
New Hampshire,1052,532,520,2017,,
New Jersey,1056,530,526,2017,,
New Mexico,1138,577,561,2017,,
New York,1052,528,523,2017,,
North Carolina,1081,546,535,2017,,
North Dakota,1256,635,621,2017,,
Ohio,1149,578,570,2017,,
Oklahoma,1047,530,517,2017,,
Oregon,1108,560,548,2017,,
Pennsylvania,1071,540,531,2017,,
Rhode Island,1062,539,524,2017,,
South Carolina,1064,543,521,2017,,
South Dakota,1216,612,603,2017,,
Tennessee,1228,623,604,2017,,
Texas,1020,513,507,2017,,
Utah,1238,624,614,2017,,
Vermont,1114,562,551,2017,,
Virginia,1102,561,541,2017,,
Washington,1075,541,534,2017,,
West Virginia,1086,558,528,2017,,
Wisconsin,1291,642,649,2017,,
Wyoming,1230,626,604,2017,,
,1166,595,571,2018,Alabama,
,1106,562,544,2018,Alaska,
,1149,577,572,2018,Arizona,
,1169,592,576,2018,Arkansas,
,1076,540,536,2018,California,
,1025,519,506,2018,Colorado,
,1053,535,519,2018,Connecticut,
,998,505,492,2018,Delaware,
,977,497,480,2018,District of Columbia,
,1014,522,493,2018,Florida,
,1064,542,522,2018,Georgia,
,1099,550,549,2018,Hawaii,
,1001,508,493,2018,Idaho,
,1019,513,506,2018,Illinois,
,1086,546,539,2018,Indiana,
,1265,634,631,2018,Iowa,
,1265,633,631,2018,Kansas,
,1248,630,618,2018,Kentucky,
,1210,615,595,2018,Louisiana,
,1013,512,501,2018,Maine,
,1080,545,535,2018,Maryland,
,1125,562,563,2018,Massachusetts,
,1011,511,499,2018,Michigan,
,1298,643,655,2018,Minnesota,
,1236,630,606,2018,Mississippi,
,1262,633,629,2018,Missouri,
,1198,606,592,2018,Montana,
,1252,629,623,2018,Nebraska,
,1140,574,566,2018,Nevada,
,1063,535,528,2018,New Hampshire,
,1094,547,547,2018,New Jersey,
,1093,552,540,2018,New Mexico,
,1068,534,534,2018,New York,
,1098,554,543,2018,North Carolina,
,1283,640,643,2018,North Dakota,
,1099,552,547,2018,Ohio,
,1062,541,521,2018,Oklahoma,
,1117,564,553,2018,Oregon,
,1086,547,539,2018,Pennsylvania,
,1018,513,505,2018,Rhode Island,
,1070,547,523,2018,South Carolina,
,1241,622,618,2018,South Dakota,
,1231,624,607,2018,Tennessee,
,1032,520,512,2018,Texas,
,1230,618,612,2018,Utah,
,1120,565,554,2018,Vermont,
,1117,567,550,2018,Virginia,
,1081,543,538,2018,Washington,
,999,513,486,2018,West Virginia,
,1294,641,653,2018,Wisconsin,
,1257,633,625,2018,Wyoming,
,1143,583,560,2019,,Alabama
,1097,556,541,2019,,Alaska
,1134,569,565,2019,,Arizona
,1141,582,559,2019,,Arkansas
,1065,534,531,2019,,California
,1024,518,506,2019,,Colorado
,1046,529,516,2019,,Connecticut
,985,499,486,2019,,Delaware
,975,495,480,2019,,District of Columbia
,999,516,483,2019,,Florida
,1058,538,519,2019,,Georgia
,1100,550,550,2019,,Hawaii
,993,505,488,2019,,Idaho
,1013,509,504,2019,,Illinois
,1080,543,537,2019,,Indiana
,1244,622,622,2019,,Iowa
,1241,618,623,2019,,Kansas
,1232,620,612,2019,,Kentucky
,1200,610,591,2019,,Louisiana
,1013,512,502,2019,,Maine
,1058,535,523,2019,,Maryland
,1120,559,561,2019,,Massachusetts
,1003,507,496,2019,,Michigan
,1284,636,648,2019,,Minnesota
,1237,628,608,2019,,Mississippi
,1236,622,614,2019,,Missouri
,1199,603,596,2019,,Montana
,1260,628,631,2019,,Nebraska
,1156,580,576,2019,,Nevada
,1059,533,526,2019,,New Hampshire
,1090,544,545,2019,,New Jersey
,1073,543,530,2019,,New Mexico
,1064,531,533,2019,,New York
,1100,554,546,2019,,North Carolina
,1263,627,636,2019,,North Dakota
,1097,550,548,2019,,Ohio
,963,490,472,2019,,Oklahoma
,1112,562,550,2019,,Oregon
,1082,545,537,2019,,Pennsylvania
,995,503,492,2019,,Rhode Island
,1030,526,504,2019,,South Carolina
,1268,633,635,2019,,South Dakota
,1220,618,602,2019,,Tennessee
,1022,515,507,2019,,Texas
,1230,614,615,2019,,Utah
,1106,560,546,2019,,Vermont
,1119,567,551,2019,,Virginia
,1074,539,535,2019,,Washington
,943,483,460,2019,,West Virginia
,1283,635,648,2019,,Wisconsin
,1238,623,615,2019,,Wyoming
